Ticket ID,Customer Name,Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating
3,519,844,48,2,10,191,4,8,53,0,343,2,3,1347,2153,3.0
4,475,252,27,0,25,310,0,0,627,0,2549,2,3,946,293,3.0
5,34,251,67,0,5,34,0,3,188,0,2657,2,1,96,2356,1.0
11,1297,1619,48,1,30,376,1,3,1323,0,1368,1,2,2079,85,1.0
12,290,580,51,1,27,650,2,15,360,0,1366,1,0,1452,1168,1.0
15,113,1634,48,0,38,59,0,13,803,0,1568,1,0,802,41,4.0
17,1340,2566,63,2,40,639,2,0,294,0,2044,0,0,2327,1906,4.0
20,1105,1048,39,0,9,424,3,15,545,0,2699,2,0,142,2428,5.0
29,491,802,30,2,12,157,4,12,1772,0,2177,0,2,39,740,5.0
30,236,2236,67,1,40,352,1,2,1623,0,831,3,2,169,2187,1.0
32,2174,2744,60,1,15,706,4,11,954,0,361,3,3,841,899,3.0
34,2546,556,50,1,5,695,3,6,1899,0,1067,0,3,309,2193,5.0
36,1219,1149,24,2,16,280,1,12,2420,0,1875,1,0,989,117,1.0
39,1479,2527,19,1,18,606,4,0,320,0,1529,0,2,2185,0,3.0
42,1426,2229,35,1,10,514,0,11,56,0,2266,0,0,2399,1759,3.0
45,742,1434,34,2,19,621,3,11,522,0,1630,0,1,764,458,2.0
47,434,6,50,0,31,282,3,8,1897,0,167,1,2,496,1164,1.0
48,1525,232,27,0,16,206,4,15,211,0,1202,3,3,918,733,1.0
52,2587,2653,64,1,21,317,3,15,2426,0,1403,3,0,1930,1284,3.0
53,468,917,54,1,28,636,3,8,1699,0,1440,1,3,295,2476,3.0
54,432,2158,37,1,19,582,1,4,600,0,712,2,0,133,1277,4.0
59,1505,1531,27,1,5,208,4,12,2292,0,632,3,2,1438,611,5.0
60,2257,111,40,2,3,601,2,2,1377,0,1972,3,0,2336,155,3.0
61,74,878,40,1,37,313,1,13,1628,0,676,3,0,104,1460,1.0
63,873,763,64,0,40,338,0,9,1180,0,769,1,1,54,1536,4.0
67,1253,822,49,0,16,574,0,11,2319,0,820,1,1,656,1255,5.0
70,1812,2594,46,0,8,43,3,14,2140,0,114,1,0,1439,27,1.0
73,2473,707,34,0,11,404,0,5,1915,0,749,2,0,594,452,4.0
74,2036,740,36,2,12,306,1,9,2471,0,828,0,3,2516,344,3.0
76,1118,485,37,2,34,363,2,5,1328,0,2181,0,0,1742,357,1.0
